cluster_name	z_score	gene
11	PTPRC	17.99849510192871
11	PRKCB	17.967533111572266
11	EML4	17.798803329467773
11	ARHGAP15	17.63233184814453
11	PDE3B	17.48124885559082
11	PRKCH	17.380558013916016
11	FYN	17.016332626342773
11	PARP8	16.90252685546875
11	SYNE2	16.59496307373047
11	SMCHD1	16.407575607299805
11	CAMK4	16.212688446044922
11	CBLB	16.212064743041992
11	PDE7A	16.185161590576172
11	BTG1	16.01477813720703
11	IKZF1	15.950746536254883
11	CLEC2D	15.923148155212402
11	CAMK2D	15.644659996032715
11	ATM	15.628946304321289
11	SLC38A1	15.547274589538574
11	LTB	15.35966968536377
11	KLF12	15.343948364257812
11	ETS1	15.34187126159668
11	AKAP13	15.150716781616211
11	PAG1	14.995283126831055
11	CCSER2	14.834491729736328
11	TNRC6B	14.733576774597168
11	RASA2	14.682621002197266
11	CNOT6L	14.658892631530762
11	AFF3	14.626277923583984
11	CYFIP2	14.578818321228027
11	RORA	14.540164947509766
11	TXNIP	14.528169631958008
11	TNIK	14.36882209777832
11	B2M	14.29085636138916
11	LEF1	14.203847885131836
11	PRKCA	14.194296836853027
11	CYTH1	14.168335914611816
11	OSBPL3	14.138795852661133
11	DPYD	13.95214557647705
11	PACS1	13.786969184875488
11	FYB1	13.661953926086426
11	FOXP1	13.627211570739746
11	UTRN	13.58253288269043
12	SLC24A3	73.92039489746094
12	HDC	47.40283203125
12	LMO4	42.980491638183594
12	RYR3	33.564483642578125
12	RNF130	27.72897720336914
12	ITPR2	26.751102447509766
12	DENND1B	25.38233757019043
12	GNAQ	25.240501403808594
12	IKZF2	24.829118728637695
12	FER	24.22985076904297
12	NBAS	23.80311393737793
12	CRPPA	21.399789810180664
12	BACE2	21.2506046295166
12	SND1	21.233116149902344
12	ST8SIA6	21.019697189331055
12	CDC42BPA	20.972726821899414
12	VPS13A	20.87516212463379
12	ITGA4	20.292478561401367
12	RPS6KA5	20.226804733276367
12	AFF2	20.074047088623047
12	PLD1	19.82530403137207
12	ZEB2	19.73569679260254
12	CNKSR3	17.905296325683594
12	FNDC3B	17.418752670288086
12	CSF2RB	17.380510330200195
12	HBS1L	17.322359085083008
12	ZNF804A	17.300636291503906
12	ARMC8	17.215816497802734
12	NLK	16.96007537841797
12	SEMA3C	16.933258056640625
12	RFX7	16.810754776000977
12	MED13L	16.502120971679688
